constructorId,year,constructorRef,constructor_name,constructor_nationality,races_count,finished_races,finish_rate,dnf_count,dnf_rate,mech_dnf_count,mech_dnf_rate,crash_dnf_count,crash_dnf_rate,other_dnf_count,other_dnf_rate,reliability_rate,win_count,podiums,top10_finishes,total_points,points_per_race,avg_finish_position,std_finish_position,consistency_index,performance_score
3,2025,williams,Williams,British,417.0,348.0,0.8345323741007195,69.0,0.16546762589928057,28.0,0.0671462829736211,33.0,0.07913669064748201,8.0,0.019184652278177457,0.9328537170263789,0,7,103,560.0,1.3429256594724222,10.594724220623501,6.120004622434692,0.14044934701995307,1.1207149388402948
4,2016,renault,Renault,French,465.0,388.0,0.8344086021505376,77.0,0.16559139784946236,31.0,0.06666666666666667,38.0,0.08172043010752689,8.0,0.017204301075268817,0.9333333333333333,0,9,124,684.0,1.4709677419354839,10.698924731182796,5.9978220890202225,0.14290160385315137,1.2273881373569198
4,2017,renault,Renault,French,42.0,32.0,0.7619047619047619,10.0,0.23809523809523808,4.0,0.09523809523809523,4.0,0.09523809523809523,2.0,0.047619047619047616,0.9047619047619048,0,0,3,8.0,0.19047619047619047,10.714285714285714,6.500130820242936,0.13333100768069123,0.14512471655328796
4,2018,renault,Renault,French,82.0,59.0,0.7195121951219512,23.0,0.2804878048780488,15.0,0.18292682926829268,6.0,0.07317073170731707,2.0,0.024390243902439025,0.8170731707317074,0,0,13,65.0,0.7926829268292683,9.036585365853659,6.358104338503578,0.1359045691656189,0.5703450327186199
4,2019,renault,Renault,French,124.0,92.0,0.7419354838709677,32.0,0.25806451612903225,19.0,0.1532258064516129,11.0,0.08870967741935484,2.0,0.016129032258064516,0.8467741935483871,0,0,37,187.0,1.5080645161290323,8.338709677419354,5.843230294156779,0.14612981837742167,1.1188865764828304
4,2020,renault,Renault,French,166.0,128.0,0.7710843373493976,38.0,0.2289156626506024,21.0,0.12650602409638553,15.0,0.09036144578313253,2.0,0.012048192771084338,0.8734939759036144,0,0,55,278.0,1.6746987951807228,8.132530120481928,5.64570651311466,0.1504730908634916,1.2913340107417624
5,2015,toro_rosso,Toro Rosso,Italian,200.0,157.0,0.785,43.0,0.215,26.0,0.13,15.0,0.075,2.0,0.01,0.87,0,3,79,459.0,2.295,7.83,5.432411987322022,0.15546267900298558,1.801575
5,2016,toro_rosso,Toro Rosso,Italian,38.0,27.0,0.7105263157894737,11.0,0.2894736842105263,8.0,0.21052631578947367,2.0,0.05263157894736842,1.0,0.02631578947368421,0.7894736842105263,0,0,17,67.0,1.763157894736842,7.078947368421052,5.198084560921752,0.16134016730021578,1.252770083102493
5,2017,toro_rosso,Toro Rosso,Italian,80.0,59.0,0.7375,21.0,0.2625,13.0,0.1625,4.0,0.05,3.0,0.0375,0.8375,0,0,33,130.0,1.625,7.8,5.452980836203261,0.1549671423770057,1.1984375
5,2018,toro_rosso,Toro Rosso,Italian,120.0,87.0,0.725,33.0,0.275,19.0,0.15833333333333333,9.0,0.075,3.0,0.025,0.8416666666666667,0,0,45,183.0,1.525,7.775,5.536940340416658,0.15297676709961544,1.1056249999999999
5,2019,toro_rosso,Toro Rosso,Italian,162.0,118.0,0.7283950617283951,44.0,0.2716049382716049,26.0,0.16049382716049382,13.0,0.08024691358024691,3.0,0.018518518518518517,0.8395061728395061,0,0,53,216.0,1.3333333333333333,8.08641975308642,5.701846204940556,0.14921261536303335,0.9711934156378601
6,2015,ferrari,Ferrari,Italian,204.0,156.0,0.7647058823529411,48.0,0.23529411764705882,27.0,0.1323529411764706,16.0,0.0784313725490196,3.0,0.014705882352941176,0.8676470588235294,0,2,73,301.0,1.4754901960784315,8.416666666666666,5.528705541744855,0.15316972003193471,1.128316032295271
6,2016,ferrari,Ferrari,Italian,38.0,32.0,0.8421052631578947,6.0,0.15789473684210525,2.0,0.05263157894736842,3.0,0.07894736842105263,0.0,0.0,0.9473684210526316,3,16,31,428.0,11.263157894736842,3.3421052631578947,2.5368475649646425,0.282737658785698,9.484764542936288
6,2017,ferrari,Ferrari,Italian,80.0,66.0,0.825,14.0,0.175,5.0,0.0625,7.0,0.0875,0.0,0.0,0.9375,3,27,65,826.0,10.325,3.45,2.428476888916178,0.2916747093243856,8.518125
6,2018,ferrari,Ferrari,Italian,120.0,101.0,0.8416666666666667,19.0,0.15833333333333333,5.0,0.041666666666666664,10.0,0.08333333333333333,0.0,0.0,0.9583333333333334,8,47,99,1348.0,11.233333333333333,3.316666666666667,2.4596183082385408,0.28904922766151864,9.454722222222221
